Selectivity_Zone,Filter_Desc,Metric_Naive_Lat,Metric_Naive_Recall,Metric_Bitmap_Lat,Metric_Bitmap_Recall,Metric_Adaptive_Lat,Metric_Adaptive_Recall
3. Common (>10%),Category = Computers (31% - Very Common),0.5085419397801161,40.0,0.0017080456018447876,0.0,1.3067498803138733,100.0
3. Common (>10%),Category = Computers (31% - Very Common),0.48562511801719666,100.0,0.0007920898497104645,0.0,0.2806249540299177,100.0
3. Common (>10%),Category = Computers (31% - Very Common),0.5124579183757305,0.0,0.00033387914299964905,0.0,6.003249902278185,30.0
3. Common (>10%),Category = Computers (31% - Very Common),0.5081670824438334,100.0,0.0006670597940683365,0.0,0.19979197531938553,100.0
3. Common (>10%),Category = Computers (31% - Very Common),0.6061659660190344,100.0,0.000500120222568512,0.0,0.2185420598834753,100.0
3. Common (>10%),Category = Computers (31% - Very Common),2.468208083882928,0.0,0.0006658956408500671,0.0,2.4261660873889923,100.0
3. Common (>10%),Category = Computers (31% - Very Common),0.633792020380497,100.0,0.0003748573362827301,0.0,0.274500111117959,100.0
3. Common (>10%),Price > $2.50 (Top 33% - Abundant),0.44041709043085575,100.0,11.709874961525202,30.0,0.34775002859532833,100.0
3. Common (>10%),Price > $2.50 (Top 33% - Abundant),0.5631661042571068,100.0,12.151499977335334,100.0,0.5913339555263519,100.0
3. Common (>10%),Price > $2.50 (Top 33% - Abundant),0.9546249639242887,100.0,12.185375206172466,60.0,0.8787501137703657,100.0
3. Common (>10%),Price > $2.50 (Top 33% - Abundant),0.38025015965104103,80.0,11.135749984532595,10.0,0.4805000498890877,100.0
3. Common (>10%),Price > $2.50 (Top 33% - Abundant),0.46695792116224766,100.0,11.51145901530981,10.0,0.2700001932680607,100.0
3. Common (>10%),Price > $2.50 (Top 33% - Abundant),0.35300012677907944,100.0,11.183165945112705,80.0,0.26133283972740173,100.0
3. Common (>10%),Price > $2.50 (Top 33% - Abundant),0.45462511479854584,100.0,11.069542029872537,0.0,0.38362503983080387,100.0
3. Common (>10%),Price > $2.50 (Top 33% - Abundant),0.5245828069746494,100.0,11.245874920859933,20.0,0.2938332036137581,100.0
3. Common (>10%),Price > $2.50 (Top 33% - Abundant),0.7651250343769789,100.0,11.779583059251308,10.0,0.42095803655683994,100.0
3. Common (>10%),Price > $2.50 (Top 33% - Abundant),0.5987910553812981,100.0,11.30500016734004,0.0,0.4379998426884413,100.0
